Advance Manifest Filing Type Code,Country Code,Advance Manifest Filing Name,Advance Manifest Filing Description
ACI,EG,Advance Cargo Information,"The Advanced Cargo Information (ACI) is a customs system mandatory for shipments arriving at Egyptian seaports that requires the pre-registration of cargo information at latest 48 hours before the vessel departure from the Loading port, according to the Egyptian Customs law."
ACI,CA,Advance Commercial Information,"The Advanced Commercial Information (ACI) is a mandatory Canada Border Services Agency (CBSA) security protocol designed to provide advanced notice and data on the commodities and parties involved in the movement of freight."
ACE,US,Automated Commercial Environment,"The Automated Commercial Environment (ACE) is an electronic information transmission system operated by U.S. Customs and Border Protection (CBP). Ocean shipments into the U.S. require an ACE filing with detailed information about the cargo as a security measure. (previously called AMS)"
AFR,JP,Advance Filing Rule,
CCAM,CN,China Customs Advance Manifest,
ENS,DK,Entry Summary Declaration,
ENS,NO,Entry Summary Declaration,
ENS,SE,Entry Summary Declaration,
ENS,NL,Entry Summary Declaration,
ENS,ES,Entry Summary Declaration,
SARS,ZA,South African Revenue Service,
SNS,GB,Safety and Security requirements,
AMANAC,MX,Asociacion Mexicana des Agentes Navieros A.C,
