Tax and Legal Reference Type Code,Tax and Legal Reference Country Code,Tax and Legal Reference Type Name
Exporter Registration Number,EG,Exporter Registration Number
Egyptian Importer VAT Number,EG,Egyptian Importer VAT Number
Exporter Registration Country,EG,Exporter Registration Country
CUIT,AR,Clave Única de Identificación Tributaria
CUIT,UY,Clave Única de Identificación Tributaria
NIF,MG,Numero d'Identification Fiscal
ICE,MA,Identifiant Commun des Entreprises
VAT,DK,Value Added Tax
VAT,NL,Value Added Tax
VAT,GB,Value Added Tax
TIN,SC,Tax Identification Number
ABN,AU,Australia Business Number
ACN,AU,Australian Company Number
NIT,AR,Número de Identificación Tributaria
NIT,UY,Número de Identificación Tributaria
NIT,BO,Número de Identificación Tributaria
NIT,BR,Número de Identificación Tributaria
CNPJ,BR,Cadastro Nacional de Pessoas Jurídicas
NPWP,ID,Nomor Pokok Wajib Pajak
BIR 2303,PH,Bureau of Internal Revenue Form 2303
NTN,PK,National Tax Number
STN,PK,Sales Tax Number
EIN,PR,Employer Identification Number
INN,RU,Taxpayer identification number
RUC,EC,Registro Único de Contribuyente
RUC,PE,Registro Único de Contribuyente
BIN,BD,Importer's Business Identification Number
AIN,BD,Freight Forwarder's Agent Identification Number
NIF,DZ,Numero d'Identification Fiscal
IEC,IN,Import Export Code
GSTIN,IN,GST Identification Number
PAN,IN,Permanent Account Number
TAX ID,CL,Tax payer ID
TAX ID,EC,Tax payer ID
TAX ID,GT,Tax payer ID
TAX ID,PE,Tax payer ID
TAX ID,UY,Tax payer ID
TAX ID,BO,Tax payer ID
